schoolcampus,dbn,bldg_code
BEDFORD STUYVESANT COLLEGIATE CHARTER SCHOOL(BN),84K648,K324
LA CIMA CHARTER SCHOOL(BN),84K649,K324
ACCESS GED(BN),71K657,Q733
WILLIAM H. MAXWELL CAREER & TECHNICAL EDUCATION HS(BROOKLYN),19K660,K660
IS 302(BN),19K302,K302
SUNSET PARK HS(BROOKLYN),15K667,K564
BENJAMIN BANNEKER ACADEMY(BN),13K670,K914
EAST BROOKLYN COMMUNITY HS(BS),18K673,K860
CITY POLYTECHNIC HS OF ENGINEERING ARCHITECTURE & TECHNOLOGY(BN),13K674,K580
RED HOOK NEIGHBORHOOD SCHOOL(BROOKLYN),15K676,K027
EAST NEW YORK ELEMENTARY SCHOOL OF EXCELLENCE(BN),19K677,K072
EAST NEW YORK MIDDLE SCHOOL OF EXCELLENCE(BN),19K678,K072
EL PUENTE ACADEMY FOR PEACE & JUSTICE(BN),14K685,K778
THE BROOKLYN ACADEMY OF GLOBAL FINANCE,16K688,K057
BROOKLYN STUDIO SECONDARY SCHOOL(BS),21K690,K721
SOUTH BROOKLYN COMMUNITY HIGH SCHOOL(BROOKLYN),15K698,K825
EXPLORE CHARTER SCHOOL(BS),84K704,K002
LEADERSHIP PREP BROWNSVILLE CHARTER SCHOOL(BN),84K711,K275
EXCELLENCE GIRLS CHARTER SCHOOL(BN),84K712,K309
P721 OTC(BS),75K721,K722
LIBERATION DIPLOMA PLUS HS(BS),21K728,K728
SUCCESS ACADEMY CHARTER SCHOOL - CROWN HEIGHTS - BROOKLYN 7(BS),84K741,K161
PS 748 BROOKLYN SCHOOL FOR GLOBAL SCHOLARS,20K748,K163
ACADEMY FOR HEALTH CAREERS(BN),17K751,K625
P753 SCHOOL FOR CAREER DEV.(BN),75K753,K085
NELSON MANDELA HS(BN),16K765,K455
LEADERSHIP PREPARATORY OCEAN HILL CHARTER SCHOOL(BN),84K775,K332
PS 152 ANNEX(BS),22K776,K776
OCEAN HILL COLLEGIATE CHARTER SCHOOL(BN),84K777,K271
BROOKLYN EAST COLLEGIATE CHARTER SCHOOL(BN),84K780,K458
SUCCESS ACADEMY CHARTER SCHOOL - BERGEN BEACH(BS),84K781,K078
ACHIEVEMENT FIRST NORTH BROOKLYN PREP CHARTER SCHOOL(BN),84K784,K377
COMPASS CHARTER SCHOOL(BN),84K789,K113
P811 CMHC(BS),75K811,K286
MS 839 (BS),15K839,K437
SOUTH SHORE HS(BS),18K515,K515
PS 971 (BROOKLYN),20K971,K971
W.E.B. DUBOIS ACADEMIC HS(BROOKLYN),17K489,K824
