latitude,longitude,school_name,school_no,gc,sw,enroll2022_21,enroll,dbn,black,hispanic,asian,multi,native_a,white,iep,poverty_no,grades_final_text,address,cic,yrly_cic_16_22,pct_chronic_absent,s_know_mh_re_ag,co_located,school_tag,split_skool,s_rr,school_type,lead_cbo_partner,school_psychologist_providing,provider,pct_temp_housing
40.693318,-73.913378,P.S. 106 Edward Everett Hale,K106,1.0,1.0,339.0,343.0,32K106,28.0,306.0,6.0,1.0,0.0,1.0,70.0,290,"PK,0K,01,02,03,04,05",1328 PUTNAM AVENUE,3.0,"0,0,1,0,1,0,1",51.9,,,District,,,Elementary,,0.0,,18.181818720000003
40.698077,-73.916563,P.S. 116 Elizabeth L Farrell,K116,1.0,0.4,319.0,361.0,32K116,11.0,340.0,3.0,1.0,1.0,4.0,57.0,303,"0K,01,02,03,04,05",515 KNICKERBOCKER AVENUE,9.0,"1,3,5,0,0,0,0",39.5,,,District,,,Elementary,,0.0,New York Psychotherapy and Counseling Center,31.853786109999998
40.704076,-73.922388,P.S. 123 Suydam,K123,1.0,1.6,525.0,538.0,32K123,22.0,480.0,17.0,0.0,3.0,15.0,80.0,461,"0K,01,02,03,04,05",100 IRVING AVENUE,7.0,"0,1,1,5,0,0,0",32.9,,,District,,,Elementary,,0.0,,26.5625
40.701107,-73.932388,P.S. 145 Andrew Jackson,K145,1.0,1.6,474.0,468.0,32K145,28.0,422.0,2.0,4.0,1.0,9.0,97.0,382,"PK,0K,01,02,03,04,05",100 NOLL STREET,5.0,"0,0,4,0,1,0,0",41.1,,,District,,,Elementary,NEW YORK EDGE INC,0.0,New York Psychotherapy and Counseling Center,22.35772312
40.693432,-73.908242,P.S. 151 Lyndon B. Johnson,K151,1.0,1.4,306.0,319.0,32K151,26.0,273.0,5.0,1.0,3.0,11.0,36.0,265,"PK,0K,01,02,03,04,05",763 KNICKERBOCKER AVENUE,1.0,"0,0,0,0,0,0,1",38.7,,,District,,,Elementary,,0.0,,27.64706016
40.706816,-73.919643,J.H.S. 162 The Willoughby,K162,2.0,1.2,327.0,300.0,32K162,20.0,260.0,8.0,1.0,2.0,9.0,65.0,245,"06,07,08",1390 WILLOUGHBY AVENUE,16.0,"1,5,3,2,2,2,1",17.9,90.0,,District,,96.96969696969695,Junior High-Intermediate-Middle,"Replications, Inc.",0.0,,33.85579884
40.696457,-73.911751,The Brooklyn School for Math and Research,K168,3.0,0.2,364.0,368.0,32K168,161.0,156.0,29.0,2.0,3.0,13.0,64.0,330,"09,10,11,12",400 IRVING AVENUE,1.0,"0,0,0,0,0,0,1",34.0,85.0,K480,District,,72.77777777777777,High school,Make The Road NY,0.0,Interborough,9.065934270000001
40.694179,-73.92818,P.S. 274 Kosciusko,K274,1.0,1.4,346.0,360.0,32K274,49.0,294.0,2.0,5.0,3.0,7.0,56.0,313,"PK,0K,01,02,03,04,05",800 BUSHWICK AVENUE,6.0,"1,1,2,0,2,0,0",49.5,,,District,,,Elementary,,0.0,New York Psychotherapy and Counseling Center,33.42317939
40.695875,-73.915217,J.H.S. 291 Roland Hayes,K291,1.0,0.0,306.0,284.0,32K291,17.0,260.0,4.0,1.0,0.0,2.0,52.0,263,"06,07,08",231 PALMETTO STREET,,,41.5,62.0,K291,District,,3.249097472924188,Junior High-Intermediate-Middle,Coalition for Hispanic Family Services,0.0,Interborough,33.870968219999995
40.690755,-73.917899,P.S. 299 Thomas Warren Field,K299,1.0,1.4,177.0,210.0,32K299,77.0,120.0,0.0,1.0,0.0,12.0,34.0,187,"PK,0K,01,02,03,04,05",88 WOODBINE STREET,3.0,"0,1,1,0,0,0,1",38.1,,,District,,,Elementary,,0.0,,32.1266979
40.70081,-73.927938,I.S. 347 School of Humanities,K347,1.0,1.0,248.0,282.0,32K347,12.0,261.0,3.0,1.0,2.0,3.0,59.0,238,"06,07,08",35 STARR STREET,16.0,"0,7,3,3,0,0,3",37.5,82.0,K111,District,,85.0909090909091,Junior High-Intermediate-Middle,Good Shepherd Services,0.0,Interborough,22.033898530000002
40.70081,-73.927938,"I.S. 349 Math, Science & Tech.",K349,1.0,0.0,278.0,257.0,32K349,29.0,214.0,8.0,0.0,2.0,4.0,58.0,241,"06,07,08",35 STARR STREET,1.0,"0,0,0,0,0,0,1",40.8,78.0,K111,District,,93.90243902439023,Junior High-Intermediate-Middle,"Center for Supportive Schools, Inc. ",0.0,Interborough,16.16541296
40.69805,-73.920187,P.S. 376,K376,1.0,1.4,469.0,473.0,32K376,39.0,386.0,15.0,1.0,4.0,28.0,61.0,365,"0K,01,02,03,04,05",194 HARMAN STREET,5.0,"1,0,2,1,0,1,0",26.2,,,District,,,Elementary,,0.0,,14.016737039999999
40.693542,-73.915159,P.S. 377 Alejandrina B. De Gautier,K377,2.0,0.4,143.0,165.0,32K377,21.0,139.0,3.0,0.0,1.0,1.0,26.0,137,"0K,01,02,03,04,05",200 WOODBINE STREET,,,62.9,,K377,District,,,K-8,Learning Through An Expanded Arts Program,0.0,New York Psychotherapy and Counseling Center,8.43373463
40.697898,-73.919088,J.H.S. 383 Philippa Schuyler,K383,3.0,1.0,893.0,877.0,32K383,247.0,575.0,28.0,5.0,4.0,18.0,160.0,729,"05,06,07,08",1300 GREENE AVENUE,,,35.4,75.0,K383,District,,87.27705112960761,Junior High-Intermediate-Middle,,0.0,,7.81609192
